Generacion,Fitness,W1,W2,W3,W4,W5
114,1564,0.7,-0.242696,1,2.95999,1.71663
115,1498,0.74124,-2.73101,1,2.95999,1.92757
116,1670,0.7,-3.42547,1,2.63572,1.92757
117,1530,0.7,-3.29555,1,2.60844,1.77248
118,1874,0.7,-2.41923,1,2.99788,1.92757
119,1579,0.7,-3.29555,1,2.60844,2.35588
120,1503,0.7,-4.0483,1,2.60844,1.77248
121,1382,0.7,-2.93463,1,2.63572,1.92757
122,1508,0.7,-3.65604,1,2.99788,1.92757
123,1478,0.7,-1.96177,1,2.63572,1.92757
124,1504,0.7,-1.77798,1,2.38853,2.21315
125,1677,0.7,-2.93463,1,3.46987,1.92757
126,1668,0.7,-2.28366,1,2.60935,1.92757
127,1671,0.716248,-3.29555,1,2.62145,2.32235
128,1761,0.7,-2.93463,1,2.38853,2.21315
129,1592,0.716248,-2.07386,1,2.60935,1.92757
130,1545,0.7,-2.28406,1,2.38853,1.92757
131,1482,0.7,-3.27876,0.93451,2.62145,1.762
132,1507,0.7,-3.27876,0.93451,2.62145,1.762
133,1868,0.716248,-2.28366,1,2.38853,2.32235
134,1511,0.716248,-2.28366,1,2.38853,2.32235
135,1557,0.7,-3.18083,1,2.62145,1.92757
136,1645,0.7,-3.38493,1,2.62145,1.92757
137,1714,0.716248,-3.18083,1,2.95185,1.762
138,1861,0.7,-2.67872,1,2.62145,1.92757
139,1897,0.7,-2.67872,1,2.62145,1.92757
140,1881,0.7,-2.67872,1,2.62145,1.92757
141,1694,0.7,-2.67872,1,2.72105,1.92757
142,1713,0.7,-2.37196,1,2.62145,1.92757
143,1893,0.7,-2.37196,1,2.62145,1.92757
144,1805,0.7,-0.976761,1,2.62145,1.92757
145,1746,0.7,-2.37196,1,2.62145,1.92757
146,1814,0.7,-2.37196,0.897956,2.62145,1.92757
147,1475,0.7,-4.10372,1,2.62145,1.92757
148,1883,0.7,-4.10372,1,3.47612,1.92757
149,1674,0.7,-4.10372,1,2.62145,1.92757
150,1745,0.7,-4.83897,1,2.62145,1.92757
151,1725,0.7,-4.83897,1,2.62145,2.09904
152,2055,0.7,-4.83897,1,2.62145,1.92757
153,1523,0.7,-4.83897,1,2.62145,1.92757
154,1482,0.7,-4.83897,1,2.62145,1.92757
155,1674,0.7,-4.83897,1,2.62145,1.92757
156,2060,0.7,-4.83897,1,2.62145,1.92757
